Samsung Component lib - Ver. 5.0

DC Bias Characteristics
DC bias value = 0.0Vdc
Temperature = 25.0degC

[CL21A226MPQ1IN]
DC voltage(Vdc),Capacitance(uF),¥ÄC(%)
0.0,18.88774299,0.0
0.05,18.904921481155,0.09095047070523539
0.1,18.927179225440003,0.20879273643695528
0.15000000000000002,18.952339400085002,0.3420017421838092
0.2,18.978225182320003,0.4790524329344466
0.25,19.002659749375002,0.6084197536775169
0.3,19.02346627848,0.7185786494016698
0.35,19.038467946865,0.7980040650955547
0.39999999999999997,19.045487931760004,0.835170945747821
0.44999999999999996,19.042349410395005,0.8185542363471183
0.5,19.02687556,0.7366288818820963
0.5477500000000001,19.006167033479997,0.626988854849942
0.592,18.986426083839998,0.5224716044275305
0.6342500000000001,18.964128288459996,0.40441729062304266
0.6759999999999999,18.93574922472,0.25416607344465947
0.71875,18.897764469999995,0.05305811290056206
0.764,18.84664960168,-0.21756643100106876
0.81325,18.778880197139998,-0.5763673982520519
0.868,18.69093183376,-1.0420046288442064
0.92975,18.579280088919997,-1.6331379627693514
1.0,18.44040054,-2.368427240019307
1.079075,18.271775355755,-3.261202964118675
1.1655999999999997,18.07566069784,-4.299520025182202
1.2585250000000001,17.855693132985,-5.464124843086918
1.3568,17.61550922792,-6.735763837709855
1.4593749999999999,17.358745549375,-8.095183428928046
1.5652,17.08903866408,-9.52313003661852
1.673225,16.810025138765003,-11.000350080658308
1.7824000000000002,16.52534154016,-12.507589980924447
1.8916749999999996,16.238624434995,-14.025596157293961
2.0,15.95351039,-15.53511502964389
2.110275,15.658634491225,-17.0963174397525
2.2252,15.343911643200002,-18.762598308735253
2.343425,15.014898140375,-20.50454017547494
2.4636,14.677150277199999,-22.292725578854363
2.5843749999999996,14.336224348125,-24.097737057756326
2.7044,13.9976766476,-25.89015715106362
2.8223249999999998,13.667063470075002,-27.64056839765905
2.9368,13.349941110000003,-29.319553336425418
3.046475,13.051865861825,-30.897694506245518
3.15,12.77839402,-32.34557444600215
3.2464749999999998,12.529579609956,-33.66290712135533
3.3367999999999998,12.299690562688001,-34.88004062105254
3.4223250000000003,12.085604030991998,-36.01350866860775
3.5044,11.884197167663999,-37.07984498753497
3.5843749999999996,11.692347125500001,-38.095583301348185
3.6636,11.506931057296,-39.07725733356138
3.743425,11.324826115848001,-40.04140080768856
3.8251999999999997,11.142909453952003,-41.004547447243716
3.9102749999999995,10.958058224404,-41.98323097574084
4.0,10.76714958,-42.99398511669392
4.092575,10.5730253581875,-44.02176393555691
4.1856,10.38050286576,-45.0410624961601
4.279525,10.1894224595325,-46.05272601958197
4.3748000000000005,9.99962449632,-47.05759972690098
4.471875000000001,9.810949332937499,-48.05652883919562
4.571199999999999,9.623237326199998,-49.05035857754437
4.6732249999999995,9.436328832922499,-50.03993416302569
4.7784,9.250064209919998,-51.02610081671807
4.887174999999999,9.0642838140075,-52.00970375969999
5.0,8.878828001999999,-52.99158821304991
5.11605,8.693354130081499,-53.97356828349399
5.2344,8.507837396471999,-54.95577528253946
5.3553500000000005,8.3225949210405,-55.9365302384364
5.4792,8.137943823656,-56.91415417943486
5.606249999999999,7.954201224187499,-57.88696813378495
5.7368,7.771684242503999,-58.85329312973673
5.871149999999999,7.5907099984745,-59.811450195540274
6.009600000000001,7.411595611967999,-60.75976035944568
6.15245,7.2346582028535,-61.69654464970301
6.3,7.060214890999999,-62.62012409456234
6.452450000000001,6.887140912195499,-63.536453689348406
6.6095999999999995,6.714482532383999,-64.45058292068597
6.77115,6.542813416668499,-65.35947455377516
6.936800000000001,6.372707230151999,-66.26009135381611
7.106249999999999,6.2047376379375,-67.149396086009
7.279199999999999,6.039478305128,-68.02435151555395
7.455349999999999,5.8775028968265,-68.88192040765108
7.634399999999999,5.719385078135999,-69.71906552750059
7.816049999999999,5.565698514159499,-70.53274964030257
8.0,5.41701687,-71.31993551125719
8.187850000000001,5.274511956964501,-72.07441905707283
8.380799999999999,5.138239869376,-72.7959032897874
8.57795,5.0071006968615,-73.49021161759518
8.7784,4.879994529048,-74.16316744869047
8.98125,4.7558214555625,-74.82059419126765
9.185599999999999,4.633481566032,-75.46831525352093
9.39055,4.5118749500835,-76.11215404364467
9.5952,4.3899016973439995,-76.7579339698332
9.798649999999999,4.266461897440499,-77.4114784402808
10.0,4.14045564,-78.07861086318181

